time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
914480,6.24639200,-75.56315150,33,0.00000,0.00000,0,0
915481,6.24639200,-75.56315150,33,0.00000,0.00000,0,0
916486,6.24639200,-75.56315150,33,0.00000,0.00000,0,0
917532,6.24644290,-75.56351400,117,0.00000,0.00000,0,0
918576,6.24644290,-75.56351400,117,0.00000,0.00000,0,0
919578,6.24644290,-75.56351400,117,0.00000,0.00000,0,0
920583,6.24644290,-75.56351400,117,0.00000,0.00000,0,0
921576,6.24655300,-75.56389300,115,0.00000,0.00000,0,0
922576,6.24655300,-75.56389300,115,0.00000,0.00000,0,0
923578,6.24655300,-75.56389300,115,0.00000,0.00000,0,0
924627,6.24655300,-75.56389300,115,0.00000,0.00000,0,0
925632,6.24655300,-75.56389300,115,0.00000,0.00000,0,0
926637,6.24655300,-75.56389300,115,0.00000,0.00000,0,0
927628,6.24667320,-75.56430550,35,0.00000,0.00000,0,0
928627,6.24667320,-75.56430550,35,0.00000,0.00000,0,0
929630,6.24667320,-75.56430550,35,0.00000,0.00000,0,0
930627,6.24667320,-75.56430550,35,0.00000,0.00000,0,0
931627,6.24674410,-75.56432650,30,1526.00000,0.00000,0,0
932632,6.24674410,-75.56432650,30,1526.00000,0.00000,0,0
933633,6.24674410,-75.56432650,30,1526.00000,0.00000,0,0
934678,6.24674410,-75.56432650,30,1526.00000,0.00000,0,0
935677,6.24674410,-75.56432650,30,1526.00000,0.00000,0,0
936727,6.24681560,-75.56440100,35,1525.19995,0.00000,0,0
937745,6.24681560,-75.56440100,35,1525.19995,0.00000,0,0
939094,6.24681560,-75.56440100,35,1525.19995,0.00000,0,0
940128,6.24681560,-75.56440100,35,1525.19995,0.00000,0,0
941127,6.24681560,-75.56440100,35,1525.19995,0.00000,0,0
942127,6.24681560,-75.56440100,35,1525.19995,0.00000,0,0
943181,6.24672510,-75.56455150,34,1524.90002,0.00000,0,0
944183,6.24672510,-75.56455150,34,1524.90002,0.00000,0,0
945185,6.24672510,-75.56455150,34,1524.90002,0.00000,0,0
946177,6.24672510,-75.56455150,34,1524.90002,0.00000,0,0
947228,6.24672510,-75.56455150,34,1524.90002,0.00000,0,0
948228,6.24680760,-75.56449860,45,0.00000,0.00000,0,0
949283,6.24680760,-75.56449860,45,0.00000,0.00000,0,0
950282,6.24680760,-75.56449860,45,0.00000,0.00000,0,0
951281,6.24680760,-75.56449860,45,0.00000,0.00000,0,0
952329,6.24680760,-75.56449860,45,0.00000,0.00000,0,0
953331,6.24673340,-75.56458720,37,0.00000,0.00000,0,0
954380,6.24673340,-75.56458720,37,0.00000,0.00000,0,0
955381,6.24673340,-75.56458720,37,0.00000,0.00000,0,0
956434,6.24673340,-75.56458720,37,0.00000,0.00000,0,0
957483,6.24695100,-75.56472830,66,0.00000,0.00000,0,0
958482,6.24695100,-75.56472830,66,0.00000,0.00000,0,0
959480,6.24695100,-75.56472830,66,0.00000,0.00000,0,0
960481,6.24695100,-75.56472830,66,0.00000,0.00000,0,0
961477,6.24695100,-75.56472830,66,0.00000,0.00000,0,0
962480,6.24695100,-75.56472830,66,0.00000,0.00000,0,0
963481,6.24719620,-75.56494090,34,0.00000,0.00000,0,0
964480,6.24719620,-75.56494090,34,0.00000,0.00000,0,0
965480,6.24719620,-75.56494090,34,0.00000,0.00000,0,0
